TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AccountTransactionCount,SpendRatio,Anomaly
14.09,Debit,ATM,70,Doctor,81,1,5112.21,7,0.002756146553533312,0
376.24,Debit,ATM,68,Doctor,141,1,13758.91,7,0.027345189388298066,0
126.29,Debit,Online,19,Student,56,1,1122.35,4,0.1125228305562184,0
184.5,Debit,Online,26,Student,25,1,8569.06,8,0.02153094969397933,0
13.45,Credit,Online,26,Student,198,1,7429.4,6,0.0018103749941982192,0
92.15,Debit,ATM,18,Student,172,1,781.68,8,0.1178871134238165,0
7.08,Credit,ATM,37,Doctor,139,1,13316.71,1,0.0005316628502598143,1
171.42,Credit,Branch,67,Retired,291,1,2796.24,7,0.06130375053177212,0
106.23,Credit,Branch,51,Engineer,86,1,9095.14,2,0.01167986417836354,0
815.96,Debit,ATM,55,Doctor,120,1,1021.88,7,0.7984890515668274,0
17.78,Credit,Online,52,Engineer,59,1,7599.52,7,0.0023396214466971316,0
190.02,Debit,Online,21,Student,173,1,1528.81,7,0.12429274975770209,0
494.52,Credit,Branch,24,Student,111,1,1620.02,3,0.30525548878868475,0
781.76,Debit,ATM,26,Student,123,1,189.69,6,4.12125024401654,1
166.99,Debit,Online,18,Student,134,1,299.93,6,0.5567632261940044,0
465.45,Debit,ATM,36,Engineer,129,1,3465.54,2,0.1343080728131602,0
555.8,Credit,Branch,19,Student,158,1,1131.26,7,0.49131056970713566,0
492.93,Debit,Online,39,Engineer,234,1,5109.97,6,0.09646436261570154,0
18.68,Credit,Branch,59,Retired,106,1,7948.37,9,0.0023501673898545647,0
71.48,Credit,Online,18,Student,169,1,6568.59,7,0.010882091878345138,0
59.32,Debit,Branch,71,Retired,38,1,5750.89,7,0.010314925150168191,0
85.77,Debit,Branch,38,Doctor,93,1,9146.19,9,0.009377675284049779,0
52.2,Debit,Online,39,Engineer,120,1,8974.93,8,0.005816201345507763,0
345.84,Debit,Online,22,Student,142,3,1402.5,9,0.24658823353591275,0
145.54,Debit,Online,21,Student,96,1,1930.96,9,0.0753718353804748,0
7.49,Credit,Online,65,Retired,276,1,3634.67,7,0.0020607097699083827,0
246.93,Debit,ATM,23,Student,158,5,673.35,6,0.36671864013189814,1
40.32,Debit,Branch,37,Engineer,95,1,2686.52,5,0.015008263422538214,0
127.45,Debit,Online,44,Doctor,197,1,1772.06,7,0.07192194354637009,0
56.17,Debit,Branch,27,Student,283,1,1351.69,3,0.0415553859127804,0
28.31,Credit,Online,59,Doctor,20,1,8334.47,7,0.0033967366810406224,0
59.12,Debit,ATM,29,Doctor,257,1,9823.64,7,0.006018135837614025,0
396.45,Debit,ATM,49,Engineer,168,3,9690.15,4,0.04091267932806749,0
877.81,Debit,Online,22,Student,150,1,399.0,6,2.20002500751817,0
255.26,Credit,Branch,45,Doctor,50,1,14815.87,5,0.01722882286546195,0
124.76,Debit,Branch,49,Engineer,45,1,5764.72,10,0.021641987777997914,0
78.13,Debit,Branch,26,Student,145,1,900.61,4,0.08675231135838696,0
649.28,Debit,ATM,75,Retired,137,1,4875.86,12,0.13316214958353573,0
795.31,Debit,ATM,66,Doctor,90,2,7914.88,7,0.10048288780059471,0
335.63,Debit,Online,55,Retired,216,1,1019.39,6,0.32924591835072037,0
328.47,Debit,ATM,63,Retired,119,1,4323.66,3,0.07597035827060789,0
34.02,Debit,Online,38,Doctor,19,1,14214.48,11,0.002393334119578533,0
241.42,Credit,Online,57,Doctor,116,1,13357.02,6,0.0180743908311327,0
55.32,Debit,ATM,19,Student,117,1,241.79,1,0.2287935717443413,0
304.31,Debit,Branch,27,Student,33,1,868.61,7,0.35034134593958915,0
435.27,Debit,Branch,74,Retired,90,1,4673.28,6,0.09314014975961178,0
164.49,Debit,Branch,26,Student,75,1,1509.27,6,0.10898646293250074,0
510.24,Debit,Online,19,Student,105,1,781.7,9,0.6527312184632056,0
626.9,Debit,Online,26,Student,138,1,265.51,4,2.3611162532064234,0
22.01,Credit,Online,41,Engineer,175,1,1335.09,6,0.016485779861389275,0
425.34,Credit,Online,69,Retired,121,1,3907.54,5,0.1088510927364759,0
